id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd2148;[베러데이] 치팅데이 차전자피 가르시니아;식이섬유의 결정체 차전자피와 지방을 분해하는 가르시니아의 만남!;412;https://st1.random2u.com/api/product/info/2148;https://st1.random2u.com/uploads/2020/09/17/15/48/92dd43a578b7900fd7b5e927e55f73cb.jpg;;in stock;22800;5000;베러데이
r2u_prd2149;[오아] 슈퍼볼 마사지기;나 이런 마사지기 좋아하네..?;604;https://st1.random2u.com/api/product/info/2149;https://st1.random2u.com/uploads/2020/09/23/18/18/37414af9592aff4ec03d5e11d2f7ca16.jpg;;in stock;79000;5000;오아
r2u_prd2150;[오아] 쿠션 안마기;뭉친어깨 풀어주는 오아 쿠션 안마기;604;https://st1.random2u.com/api/product/info/2150;https://st1.random2u.com/uploads/2020/09/23/18/52/6e5c8c2e8a35b2e683460576c34024e2.jpg;;in stock;44900;5000;오아
r2u_prd2151;[오아] 듀얼 무릎 마사지기;무릎을 더욱 건강하게!;604;https://st1.random2u.com/api/product/info/2151;https://st1.random2u.com/uploads/2020/09/23/18/58/774ab20c07b232059a76714b80ddddfe.jpg;;in stock;199000;5000;오아
r2u_prd2152;[오아] 안개가습기 1000ml;예쁜 가습기로 내 방을 촉촉하게~!;604;https://st1.random2u.com/api/product/info/2152;https://st1.random2u.com/uploads/2020/09/23/19/08/6985f78c115b5894a81e567dfd945046.jpg;;in stock;46900;5000;오아
r2u_prd2153;[GANSO] 무선 LED 인테리어 무드등 알람 탁상 시계;시계가 이렇게 귀엽다니!;604;https://st1.random2u.com/api/product/info/2153;https://st1.random2u.com/uploads/2020/09/23/19/34/4551cebe57941f5b1f3648d1b81483ce.jpg;;in stock;25900;5000;브로스앤컴퍼니
r2u_prd2154;[바디랩스] 마사지건 ReCovery;바디랩스로 어깨 근육이 말랑말랑해졌어요;604;https://st1.random2u.com/api/product/info/2154;https://st1.random2u.com/uploads/2020/09/23/19/43/75e833976f37d3bae500fbe90bb6c4cf.jpg;;in stock;98000;5000;브로스앤컴퍼티
r2u_prd2157;[뽀떼] 미유 원목 캣타워 D-type;원목으로 된 캣타워가 역시 좋죠?;1;https://st1.random2u.com/api/product/info/2157;https://st1.random2u.com/uploads/product/21-03-16/1ab17c6e1b2d5d174bb893a7c728eca3.jpg;;in stock;477000;5000;뽀떼
r2u_prd2158;[뽀떼] 원목 고양이 캣휠 + 카페트;집사들의 탁월한 선택;1;https://st1.random2u.com/api/product/info/2158;https://st1.random2u.com/uploads/2020/09/23/20/23/f67d33aa948c5aaebd75dd19443d2619.jpg;;in stock;390000;5000;뽀떼
r2u_prd2167;[광동생활건강] 광동 피부엔톡 저분자 콜라겐;저분자로 깊숙이까지 콜라겐을 채워주는 광동 피부앤톡!;412;https://st1.random2u.com/api/product/info/2167;https://st1.random2u.com/uploads/2020/10/05/17/48/9f5f322d1ba187b4984f6caa4925691c.png;;in stock;14000;5000;광동생활건강
r2u_prd2168;[청소신] 세탁조클리너;지저분한 세탁조로 하는 빨래는 안하니만 못합니다. 세탁조 청소도 청소신 세탁조클리너;436;https://st1.random2u.com/api/product/info/2168;https://st1.random2u.com/uploads/2020/10/08/09/49/041483b4d0a466090289f08594a77e0c.jpg;;in stock;12900;5000;제이에스벤처스
r2u_prd2169;[청소신] 변기클리너;항상 미루고 싶은 변기 청소, 청소신 변기 클리너로 고민 해결!;436;https://st1.random2u.com/api/product/info/2169;https://st1.random2u.com/uploads/2020/10/08/09/59/e80658523faafe962f8ce8deb31b8850.jpg;;in stock;14900;5000;제이에스벤처스
r2u_prd2170;[청소신] 1종 주방세제;유해성분 X 환경과 건강을 생각하는 친환경 세제입니다.;630;https://st1.random2u.com/api/product/info/2170;https://st1.random2u.com/uploads/2020/10/08/10/06/5bcadcb90b525dd23f16b6b35f1754f1.jpg;;in stock;14900;5000;제이에스벤처스
r2u_prd2171;[청소신] EM 홈드라이세제;집에서도 드라이 클리닝을 맡긴 듯 깨끗하게! ;630;https://st1.random2u.com/api/product/info/2171;https://st1.random2u.com/uploads/2020/10/08/10/15/7e69e422ecf9c40684753b58f3490b7e.jpg;;in stock;14900;5000;제이에스벤처스
